,Hardness,Al,Co,Cr,Cu,Fe,Ni,result_19
67,558,0.265,0.147,0.147,0.147,0.147,0.147,5.54031861
68,593,0.333,0,0.133,0.133,0.133,0.267,6.232057732
69,125,0,0.2,0.2,0,0.2,0.4,1.353800876
70,695,0.2,0.267,0.267,0,0.267,0,5.823940065
71,473,0.182,0.091,0.182,0.182,0.182,0.182,4.583955011
72,278,0.107,0,0.179,0.179,0.179,0.357,2.881706358
73,155,0,0.2,0.2,0.2,0.2,0.2,1.302850452
74,161,0,0.213,0.15,0.213,0.213,0.213,1.216375184
75,495,0.11,0,0.29,0.29,0.05,0.26,3.597677824
76,430,0.25,0.25,0,0,0.25,0.25,4.586606899
77,573,0.273,0,0.182,0.182,0.182,0.182,5.730273466
78,587,0.225,0.225,0.225,0,0.1,0.225,5.255497041
79,544,0.265,0,0.147,0.147,0.147,0.294,5.32214577
80,146,0,0.05,0.238,0.238,0.238,0.238,1.521592315
81,476,0.225,0.225,0.1,0,0.225,0.225,4.775484843
82,185,0.057,0.189,0.189,0.189,0.189,0.189,2.349741285
83,225,0.125,0.125,0.125,0,0.125,0.5,2.363043553
84,407,0.2,0.2,0.2,0.2,0.2,0,4.631531493
85,154,0,0.25,0,0.25,0.25,0.25,1.004357961
86,158,0,0.15,0.213,0.213,0.213,0.213,1.37537309
87,335,0.167,0.167,0.167,0,0.167,0.333,3.592593825
88,170,0,0.283,0.283,0,0.283,0.15,1.416671691
89,665,0.238,0.238,0.238,0,0.05,0.238,5.43598232
90,558,0.213,0.213,0.213,0,0.15,0.213,5.08852375
91,655,0.15,0.283,0.283,0,0.283,0,5.353190409
92,238,0.091,0,0.182,0.182,0.182,0.364,2.638366967
93,339,0.153,0,0.169,0.169,0.169,0.339,3.602708109
94,567,0.286,0,0.143,0.143,0.143,0.286,5.613590496
95,811,0.46,0.14,0.23,0.05,0.07,0.05,8.607144489
96,790,0.44,0.14,0.22,0.05,0.09,0.06,8.311539802
97,855,0.43,0.19,0.24,0,0.08,0.06,8.467106091
98,856,0.43,0.18,0.24,0,0.1,0.05,8.478947073
99,859,0.47,0.14,0.2,0.05,0.09,0.05,8.59389213
100,875,0.43,0.24,0.22,0,0.05,0.06,8.34191347
101,868,0.43,0.24,0.23,0,0.05,0.05,8.381934967
102,843,0.47,0.12,0.2,0.05,0.11,0.05,8.61389213
103,794,0.43,0.15,0.17,0.05,0.14,0.06,7.948090414
104,783,0.42,0.1,0.3,0.05,0.07,0.06,8.415013231
105,797,0.47,0.11,0.22,0.05,0.1,0.05,8.719606263
106,805,0.47,0.13,0.2,0.05,0.1,0.05,8.60389213
107,699,0.29,0.22,0.34,0,0.05,0.1,6.904742832
108,749,0.47,0.07,0.16,0.09,0.16,0.05,8.163294156
109,828,0.43,0.14,0.21,0.05,0.12,0.05,8.140678255
110,849,0.47,0.18,0.15,0.05,0.1,0.05,8.299017607
111,883,0.47,0.2,0.18,0.05,0.05,0.05,8.434497199
112,864,0.43,0.18,0.2,0,0.12,0.07,8.319879551
113,841,0.47,0.17,0.16,0.05,0.1,0.05,8.361656219
114,882,0.43,0.22,0.22,0,0.08,0.05,8.363840168
115,883,0.43,0.22,0.23,0,0.07,0.05,8.401934967
116,828,0.43,0.2,0.21,0,0.09,0.07,8.340156654
117,848,0.43,0.22,0.25,0,0.05,0.05,8.474851746
118,878,0.47,0.19,0.19,0.05,0.05,0.05,8.494640167
119,782,0.43,0.29,0.18,0,0.05,0.05,8.131142811
120,865,0.43,0.25,0.22,0,0.05,0.05,8.333840168
121,851.5,0.445,0.22,0.195,0.025,0.065,0.05,8.324653045
122,117,0.07,0.233,0.233,0,0.233,0.233,2.449085694
123,228,0.13,0.217,0.217,0,0.217,0.217,3.612072986
124,135.3,0.025,0.25,0.225,0,0.25,0.25,1.659456085
125,147.2,0.05,0.25,0.2,0,0.25,0.25,1.97297955
126,175.3,0.075,0.25,0.175,0,0.25,0.25,2.315686832
127,190.4,0.1,0.25,0.15,0,0.25,0.25,2.672774028
128,210.6,0.125,0.25,0.125,0,0.25,0.25,3.031007664
129,250.3,0.15,0.25,0.1,0,0.25,0.25,3.380119225
130,314.1,0.175,0.25,0.075,0,0.25,0.25,3.713179454
131,386.5,0.2,0.25,0.05,0,0.25,0.25,4.026211085
132,486.3,0.225,0.25,0.025,0,0.25,0.25,4.31745356
133,418,0.182,0.182,0.182,0.182,0.091,0.182,4.492955011
134,245.8,0.13,0.217,0.217,0.217,0.217,0.217,3.645854902
135,694,0.429,0.071,0.143,0.071,0.143,0.143,7.759982543
136,110,0.059,0.235,0.235,0,0.235,0.235,2.252715867
137,169,0.048,0.238,0.238,0.238,0.238,0.238,2.163417134
138,768,0.4,0.133,0.067,0.133,0.2,0.067,6.499760096
139,639,0.222,0.222,0.222,0.111,0.222,0,5.472540746
140,644,0.428571429,0.142857143,0.142857143,0.142857143,0.142857143,0,7.029775827
141,617,0.167,0.167,0.333,0,0.167,0.167,4.980841574
142,644,0.429,0.143,0.143,0.143,0.143,0,7.033669142
143,150,0,0.1,0.225,0.225,0.225,0.225,1.447084728
144,109,0,0.143,0.143,0,0.571,0.143,1.322426835
145,799,0.47,0.13,0.13,0.05,0.12,0.1,8.252342779
146,699,0.34,0.17,0.34,0,0.05,0.1,7.589472576
147,604,0.38,0.11,0.06,0.09,0.31,0.05,6.611061266
148,537,0.167,0.167,0.167,0.083,0.25,0.167,4.413905166
149,341.09,0.143,0.19,0.19,0.095,0.19,0.19,3.952535222
150,637.2,0.238,0.238,0.238,0,0.048,0.238,5.43598232
151,603,0.365,0.159,0.159,0.159,0.159,0,6.297717903
152,207,0.111111111,0.222222222,0.222222222,0.222222222,0.222222222,0,3.870778566
